,Samples,nitrogen,block,spp,batch,BOGR_cover,SPCO_cover,ELEL_cover,total_bio,grass_bio,forb_bio,photo,cond,Ci,iWUE
1,B10_Spco,2.5,B,1,normal,24,10,1,5.495,4.635,0.86,0.813,0.0153,282,53.1372549
2,D28_Bogr,7.5,C,0,other,2,0.1,40,21.1,21.015,0.085,6.803228026,0.037767185,72.46294008,180.1359573
3,B13_Spco,5,B,1,normal,8,4,20,14.835,11.355,3.48,,,,
4,C19_Spco,10,C,1,normal,1,0.1,12,13.94,13.035,0.905,2.172638471,0.036277543,249.0556425,59.88935003
5,D30_Spco,0,D,1,normal,8,2,14,6.33,4.945,1.385,1.63,0.0391,283,41.68797954
6,C21_Bogr,0,C,0,normal,6,1,12,11.165,10.655,0.51,9.74,0.0653,134,149.1577335
7,B10_Bogr,2.5,B,0,other,24,10,1,5.495,4.635,0.86,7.548530162,0.061616117,166.1544714,122.5090208
8,B9_Spco,0,B,1,normal,16,2,1,7.86156566,6.345,1.465,7.414662479,0.093867695,233.6377707,78.9905673
9,C22_Spco,2.5,C,1,normal,3,1,15,15.8,11.82,3.98,15.2,0.185,232,82.16216216
10,B14_Spco,30,B,1,normal,1,5,15,4.5165,4,0.515,1.56,0.0286,267,54.54545455
11,C17_Bogr,5,C,0,other,3,2,14,9.1,8.38,0.72,14.8,0.0909,94.9,162.8162816
12,A7_Bogr,7.5,A,0,other,1,5,13,12.91,12.775,0.135,13.4,0.0969,143,138.2868937
13,F43_Bogr,5,F,0,other,1,6,25,6.675,6.595,0.08,19.4,0.116,99.4,167.2413793
14,A8_Bogr,2.5,A,0,other,5,2,13,15.5727,15.435,0.14,13.05664009,0.083334388,115.1399923,156.6776982
15,C18_Spco,20,C,1,other,1,3,15,10.68,9.59,1.09,8.01,0.145,257,55.24137931
16,C22_Bogr,2.5,C,0,other,3,1,15,15.8,11.82,3.98,14.93459318,0.100836745,127.4870168,148.1066568
17,F41_Bogr,20,F,0,other,1,1,65,4.025,3.9,0.125,21.4,0.124,88.4,172.5806452
18,A7_Spco,7.5,A,1,normal,1,5,13,12.91,12.775,0.135,14.23050225,0.176688401,231.0412744,80.54010433
19,D28_Spco,7.5,D,1,normal,2,0.1,40,21.1,21.015,0.085,15.8,0.337,276,46.884273
20,F41_Spco,20,F,1,normal,1,1,65,4.025,3.9,0.125,5.440307149,0.05014943,190.0764241,108.4819339
21,A8_Spco,2.5,A,1,normal,5,2,13,15.5727,15.435,0.14,2.77,0.0489,269,56.64621677
22,B11_Spco,7.5,B,1,normal,5,4,21,6.85,6.305,0.545,7.625455446,0.13166824,259.1069939,57.91415945
23,D25_Spco,2.5,D,1,normal,5,2,28,13.853125,11.19,2.39,3.96931279,0.02185824,77.67444645,181.5934307
24,D31_Bogr,10,D,0,normal,1,0.1,40,10.94,10.11,0.83,4.54,0.0424,186,107.0754717
25,C20_Spco,30,C,1,other,1,1,89,14.25,13.935,0.315,1.66,0.0241,238,68.87966805
26,B12_Spco,20,B,1,normal,1,2,28,7.225,6.32,0.905,0.22,0.0129,333,17.05426357
27,A1_Spco,30,A,1,normal,3,2,30,11.16,7.615,3.545,9.261500338,0.12455368,232.2966822,74.35750062
28,B12_Bogr,20,B,0,other,1,2,28,7.225,6.32,0.905,12.65254545,0.102996972,146.8435796,122.8438585
29,A4_Spco,15,A,1,normal,2,2,17,5.91,5.515,0.395,2.87,0.0635,294,45.19685039
30,B16_Spco,15,B,1,normal,5,8,17,20.695,11.76,2.46,2.19,0.0543,287,40.33149171
31,B16_Bogr,15,B,0,other,5,8,17,20.695,11.76,2.46,,,,
32,A1_Bogr,30,A,0,normal,3,2,30,11.16,7.615,3.545,10.6,0.0951,191,111.4616193
33,D26_Spco,5,D,1,normal,11,0.1,14,13.585,10.305,0.28,24.8,0.289,223,85.81314879
34,A3_Bogr,10,A,0,normal,3,6,15,4.165,2.855,1.31,14.2,0.154,219,92.20779221
35,A5_Bogr,5,A,0,other,1,4,13,13.4054167,11.14,2.065,2.66,0.0648,301,41.04938272
36,A5_Spco,5,A,1,normal,1,4,13,13.4054167,11.14,2.065,9.047351505,0.124689157,251.6321054,72.55924832
37,F44_Bogr,10,F,0,normal,3,4,17,10.10857143,5,0.06,7.653979887,0.103451336,244.3064603,73.98628363
38,D32_Bogr,20,D,0,other,0.1,4,38,6.795,6.765,0.03,14.24939901,0.07993308,77.90029785,178.2666076
39,F42_Spco,30,F,1,other,0.1,2,44,5.179074722,4.925,0.015,14.1,0.207,252,68.11594203
40,C17_Spco,5,C,1,normal,3,2,14,9.1,8.38,0.72,3.378320739,0.052863204,241.2602548,63.90684793
41,A2_Bogr,20,A,0,other,5,5,35,9.1,8.73,0.37,,,,
42,C24_Bogr,15,C,0,other,2,3,85,5.85,5.015,0.835,10.53098914,0.187558341,274.9200076,56.14780491
43,A4_Bogr,15,A,0,other,2,2,17,5.91,5.515,0.395,11.01348636,0.085041206,166.6775016,129.5076455
44,B9_Bogr,0,B,0,normal,16,2,1,7.86156566,6.345,1.465,0.816,0.0627,341,13.01435407
45,F43_Spco,5,F,1,normal,1,6,25,6.675,6.595,0.08,5.918740563,0.064702485,220.958125,91.47624798
46,C23_Bogr,7.5,C,0,other,1,2,18,11.87,9.26,2.61,19.4,0.168,178,115.4761905
47,D31_Spco,10,D,1,other,1,0.1,40,10.94,10.11,0.83,4.162156619,0.063658251,249.6651815,65.38283025
48,C21_Spco,0,C,1,normal,6,1,12,11.165,10.655,0.51,9.617103912,0.109330935,226.8715039,87.96324583
49,D25_Bogr,2.5,D,0,other,5,2,28,13.853125,11.19,2.39,17.5,0.104,98.2,168.2692308
51,B15_Spco,10,B,1,normal,1,1,28,7.515,7.47,0.045,,,,
52,B11_Bogr,7.5,B,0,other,5,4,21,6.85,6.305,0.545,1.15,0.0243,287,47.32510288
53,B13_Bogr,5,B,0,other,8,4,20,14.835,11.355,3.48,2.94,0.0361,230,81.44044321
54,C20_Bogr,30,C,0,normal,1,1,89,14.25,13.935,0.315,18.5964496,0.104570301,65.40511483,177.8368181
55,D27_Bogr,15,D,0,other,0.1,1,18,18,17.99,0.01,20.3,0.142,133,142.9577465
56,A2_Spco,20,A,1,other,5,5,35,9.1,8.73,0.37,1.99,0.0446,294,44.61883408
57,A6_Spco,0,A,1,normal,9,2,13,11.295,11.155,0.14,0.303,0.0209,339,14.49760766
