"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56"
"C1",0.0227454886072392,0.0255710206952958,-0.0016494095966753,-0.00500501733416101,0.015652905125827,0.00500844207833534,0.0228871875683266,-0.0277465334408382,-0.030275377971576,0.000781311830540774,-0.0299600525434566,-0.0268617639414827,0.0181103930446605,0.0133755161307035,-0.0100739887242373,-0.010666440998625,-0.0350090007937921,-0.011873807020128,-0.0264532254134678,0.020960716207314,0.0105309472030821,0.0114162394807842,0.00473192505812653,-0.00717427075180236,0.00200717865617233,-0.009625244278157,-0.00838726211555798,-0.00491716570217897,-0.0290885899956476,-0.00661431024496367,-0.000525648088907899,0.00731363919285313,0.0198882267986219,-0.0143800229445802,-0.0142844559725022,-0.00852518373198633,-0.00783268824647517,0.00531097440406818,0.0141931455240148,-0.017250095063837,-0.0117631828248847,-0.00388024062134684,-0.00592504932243018,-0.00883771208606732,0.00489574618906946,0.00844757673429033,0.0162798852044773,0.0204532357916125,0.00894632028055494,-0.0133627544894179,0.000193693072858436,0.000442088602150074,-0.000564378859716499,0.00517480803558422,-0.0308211037203852,0.173961510535378
"C2",-0.0307413134784297,-0.00116736924971405,0.00158079617949074,-0.00334710795402112,0.000359963959291652,0.0110467148019562,0.00316570057536256,-0.00294764668336325,-0.00217297289414858,-0.00472984360358502,-0.00746132626190988,-0.000846906097524382,0.00248818826190095,0.00354589394413067,0.00567048118081313,-0.00178752333447853,0.00212201189377336,-0.00563699355254821,0.00199234954763395,0.00201908621723482,-0.00080757927241858,0.00324080136231924,-0.00960127833460417,0.00260093226109819,0.00506941275572538,0.00449158494677046,0.00124972652521963,-0.00107354289570694,0.00400124622224999,0.00351684847607804,0.00932529240726784,0.000723536545057445,-0.00590085896477659,-0.0102174292716823,-0.000131743751830271,0.00354302221443109,0.00648490158499161,-0.00944746546313245,0.0103299757983918,0.00872036027888117,0.00414132563129461,0.00267887163332802,-0.00254552542170071,-0.00324104585585365,0.00477997423553504,0.00342315084874352,-0.00509233983254364,0.00382737752469515,-0.0017672122459632,-0.00507206365726686,0.00579753670341488,0.00172293355775808,-0.000171168428677192,-0.000423876150121983,0.00509631655112558,0.0931924538978855
"C3",-0.0294881486427278,0.00883580221457465,-0.00316432351919352,-0.00949517766444742,0.00263001162280626,0.000818634714409571,0.00281661461437298,0.0108239211686505,0.00546910803722938,-0.00423584424362671,-0.0173014659035593,0.00598599315506281,-0.00644923030035206,-0.00565066911552583,0.00840524775444981,-0.000955566114452024,-0.00840689758151145,-0.00775720253471078,0.00900582936510152,-0.0109012434709477,-0.0218368039873851,0.00586445588831974,-0.00460073028778477,-0.00731045448610645,0.0188802222218361,0.000780086261972284,0.0146766305406612,0.00665690952245613,-0.0109927336756084,0.0125985334321337,0.00712141036076234,0.00530074957622489,-0.0150035050295046,0.000400925176237195,-0.00960111763558407,0.0236466177652055,0.000103391946817971,-0.00641202611305405,0.0103742873385004,0.00532578967260861,-0.0132019895650778,-0.00541001382683154,0.00197441986535761,-0.00458629237159498,-0.00125443215861757,0.017240629889144,-0.000827337342444497,0.00477136062845711,0.00990115255310387,-0.0101323719656491,0.00161541247011953,-0.00387014897082631,-0.0034769253645991,0.00182612960876353,0.00248295684786246,0.04232450033887
"C4",0.0182577483931713,0.0375708515594828,-0.00919610516151335,-0.0103837912210537,-0.000786418340088165,0.0211272266063196,0.0142207413111907,-0.0187772427231321,-0.0256044518715607,-0.0230289638526461,-0.030437691700895,-0.019231787333412,0.0314018983491781,0.01564730960557,-0.0112820483800187,-0.0211376192540525,-0.0264557406014089,0.00324397819326006,-0.0262555964525232,0.00772465529813625,-0.00487100026585173,0.0178549829216507,0.0112884421168991,-0.0192222436656216,-0.0254730968408109,-0.0281150571034769,-0.0127203005242906,-0.00301750217268613,-0.0312091711284897,-0.00727263863741869,-0.00145391850794739,0.0113914367659312,0.0155231420282055,-0.00197040448861872,-0.0209413119261391,0.0113359748287646,-0.00532760570173236,0.0136049716083462,0.0203411731228567,-0.00815420521588426,-0.0150956282815939,0.0117748759949773,-0.02148280534508,-0.00629756474327174,0.00193252480358061,-0.00632801691449396,0.0147403151449353,0.00787802607867999,0.0066829313271501,-0.0263404620396153,-0.00329276112028478,-0.0175699026384326,0.00775935980868739,-0.0105205834042542,-0.0502115794859104,-0.0434281954026008
"C5",0.00638732099619118,0.00239164697069693,0.0291813933470231,0.0102947447850799,-0.0176583096594659,0.0171092966363644,0.024842647443027,0.0610852093980969,-0.0596035400350593,-0.0445811287384598,-0.00203827550127811,0.00675531990163619,0.00957175514767542,0.0306925930124958,-0.00893317611866205,-0.00189955743584993,0.00588554481952882,0.0118522930810393,0.00600027349675243,0.0159228320921521,0.03836938830275,-0.0164657740093586,-0.0117609103210375,-0.00167338641332558,0.0175867720575358,-0.0301287861361192,-0.023889804203316,-0.00486859925549558,0.0283742392480826,0.0542485730539573,-0.0298635808701114,0.00775768535684259,-0.00917406281759737,0.0279672158168595,0.016169654411355,-0.00377531403350651,0.0229900279332435,0.00626797745497755,-0.0180419289888814,-0.0102755152359636,0.0239126139576258,0.0189204557447577,-0.020453119783652,-0.00752926985936199,-0.027988835245153,0.00925497902283948,0.0054544710065258,0.02460180428559,0.0217285241120873,0.00565141614455812,0.0161575106535442,-0.01024098908756,-0.00800207862978942,-0.0199881400170157,-0.00325518969688283,0.0160266508196517
"C6",-0.00568959854993389,-0.0268192322970978,0.00857208058059723,0.0442156377669408,-0.0450540014511204,-0.0231018487479267,-0.0139177532068813,-0.0104740086786449,-0.017206915848456,0.0362386791657362,-0.0156158309112116,0.0215615754215323,-0.0012661880879588,0.0482614042770924,-0.00939229162545529,-0.0116530831210077,-0.000203382447541405,0.0216425640252142,-0.00810510747328679,-0.0126766907502599,-0.0193392549157001,-0.00185757053492891,0.0348638496747287,0.00351563371362489,0.0107312270399666,0.0426247454737841,0.0143919891835165,-0.0446569071471921,0.0215505621476187,-0.0067042647913256,-0.00968668974076701,-0.0128032007010835,0.00216853082500263,-0.0149311237125437,0.0147256267433597,0.000739054241081038,-0.00583527027822215,-0.00512050064948188,-0.00103644399503194,0.0050980800348443,-0.0315811400234022,0.0148473367933171,-0.00667045641889449,0.0208850508537154,-0.00043421948211585,0.0150103013474711,-0.0255628246984837,-0.000204178829512465,0.0198124180891331,-0.00666373514103139,0.00101867625662561,-0.0411657455741214,-0.0178063506107892,0.00244867409300635,0.00802600918459458,0.0101847884976696
"C7",0.0209278940692071,0.00196795058700489,0.0179809394506006,-0.0149633769595682,-0.0350564431327287,0.0196963516747585,-0.0136577973949228,-0.0165842293120699,0.00683890489885441,-0.0190159522753311,0.00764124370731463,-0.0126705456469259,-0.00189787393563793,-0.0147748871165166,0.00785549205734805,0.0408314076783109,0.0147158203609003,0.0186530955732266,-0.0123024665081315,0.0163105191290406,-0.0110239040565035,0.00647710846912558,-0.0296058532558408,0.0304916979397177,0.0104463520324307,-0.0129104520808662,-0.0406481881902436,-0.00683068172737897,-0.0199734610838089,0.0097956190046454,-0.0331730124634659,0.025346990441229,0.042884136318568,-0.00790778903620175,-0.0247442632705224,0.0234228043399448,0.0158207752541622,-0.0258876203111551,-0.0223206191725655,0.0444356062657869,0.0182147883435943,0.0220971222068777,0.0019569830151279,-0.00629277678074508,-0.0142438949067802,0.011299437435849,-0.0269156219569439,-0.0155691639277956,-0.000139166985900252,-0.0231981287793034,0.0267109998878277,0.0134425573522033,0.0104711845303448,0.00508797461451396,-0.00957323161609308,0.0443345445396076
"C8",-0.00502749034725887,0.0333651124796868,-0.0231297851393666,0.0377543823055071,-0.0365249913377363,0.0282934211764083,-0.0235184033156176,0.00151597883893772,-0.0123320098813182,0.0406803809729371,-0.00262773086948743,0.00470551646975856,-0.024457090743219,0.0187392249159434,-0.0182516531124708,-0.00252651872638037,-0.0639767396470971,-0.00581275005956249,0.0103144855279809,0.00554932902266069,0.000741297933167153,-0.0187537593507575,0.00395549845649387,0.0122453935545268,-0.0257221499899898,-0.00188452182980963,0.00652586889353232,0.00148565549124624,0.0158842750486481,-0.00850172212838993,0.0231774522047814,0.00334630938032901,0.00694323160213972,0.00293507848239643,0.000520268338491004,-0.00256357300770533,0.00529374002931416,-0.00987447281732239,-0.00781376944463153,-0.00574370999637134,0.0015358107550214,-0.00426456925181925,-0.0152507188235737,0.000493318663313137,0.0172325101722193,-0.0104602525104038,-0.00690687428036314,0.019319360006409,-0.011898089255206,0.0082820305432585,-0.00505245713437881,0.00406838155674002,0.00924479572249482,0.01492434945594,0.0183109009204654,0.051406876103349
"C9",0.0295152384356287,-0.0079398499674849,0.00409090778537951,-0.00367854726836694,-0.0186666027508885,0.00626740988243943,-0.00591744001260294,0.0110821211647992,0.00616119237843834,0.00352880351668035,-0.00358616803393284,0.00825993168371644,0.00434117187578556,-0.0147838261962301,0.002303684964246,0.000118818490157897,0.00476567233586798,0.00494334183776791,-0.007375442924399,-0.000448196019417645,-0.00198408967772573,0.0142088104994172,0.00488521766969266,-0.000360814148761321,-0.00191636304847095,0.00314835793728695,-0.00483322345592407,-0.0185113720801548,0.0099646010086017,0.0026858172124401,-0.000659081795892837,-0.000815647083435648,-0.00221627751207286,0.0240629044699227,-0.00792254525655801,0.0104461321430426,-0.000624872074575631,-7.59661294812979e-05,0.0124374431989177,-0.00132553588758727,-0.010035979386002,0.00243559480905535,0.0136246580477986,-0.00315404349292,0.0137260942504296,-0.00722189102269499,0.00990019027308664,-0.00940457811303242,0.00107125310822927,0.00346317625646903,0.00176282917381927,-0.0048541303306526,0.00473487858732266,0.00824368558013292,0.0108728500945594,-0.0347925887852
"C10",-0.0295673151938768,-0.011770241854392,0.00973475556280457,-0.000165738154475889,-0.00142543539642016,-0.00234169531185744,0.00389915763965815,-0.0025077390290014,-0.0161300061207153,-0.00341875691383808,-0.00913625784980399,0.00416227455381318,-0.00368819442293248,0.00571990705019866,-0.00557979055863169,-0.0176677377785284,0.00585619693646177,0.00432374812441455,-0.00447008553175013,0.00648262008627984,-0.00172897743470497,0.0148588199175539,-0.00837205429392278,0.0101821554405685,0.00143649176337381,0.00113589969717532,0.0104373046320275,0.00553697049531866,-0.00522057518821946,0.00535138585172264,0.0123181777502445,-0.00762397297497623,-0.0077714203980811,-0.00663217453859362,0.00802128913945353,0.00150480665042584,-0.00604154799313036,-0.00285641866537229,-0.00549608484740168,0.00839598099589133,0.0047888834099567,-0.00493996813291951,-0.00403946052619287,-0.00124176367766662,0.023684998649945,-0.00928589128716625,0.00449154018294458,-0.000841926169594831,0.00797832134565211,0.00388353021533536,0.00192255940873404,0.0197219581358216,0.00818620832393627,-0.000475009225067344,-0.0129676705525372,-0.00793973550802676
