,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33
B10_Spco,-2.853048684,0.985571662,1.012053238,-0.83400214,-0.35823578,-0.456669957,0.077378463,-0.308563126,-0.086389064,-0.07089858,0.180986967,-0.325862002,-0.259759723,-0.004678585,0.42230708,0.05037374,-0.191487065,0.289667685,-0.205660754,-0.016910253,0.147355875,-0.133691847,-0.080536246,0.054119264,0.216004585,-0.174263821,-0.043648122,-0.117483611,0.111457919,-0.048841586,0.038502092,0.087527331,-0.085216043
D28_Bogr,0.482529324,-2.167023776,-0.175711811,-0.630779604,-0.857758862,-0.522171502,0.126128092,0.046129036,-0.281932289,-0.599831501,0.297662689,-0.009689113,0.240825685,0.202934193,-0.425240358,0.575147719,0.016234272,0.095515805,0.049106018,-0.193492373,-0.215491551,0.10225178,0.460715383,0.071213197,-0.055292799,0.018794907,-0.101092882,0.06140729,-0.012066327,-0.02903504,0.064895021,0.078145992,0.069350033
B13_Spco,-1.527959866,0.966685508,0.069851561,0.166718455,0.552412737,-0.131208996,-0.768640545,-0.280838437,0.231066788,-0.243087462,0.173099874,-0.410661123,0.398380971,0.22883396,0.044275472,-0.093418349,-0.23051146,0.42079342,-0.154259432,0.305724739,-0.068799409,-0.193026204,-0.0729851,-0.072675271,-0.134315697,0.152279137,-0.136348896,-0.018401941,0.158147019,-0.045293717,0.029831846,0.037076534,0.004930386
C19_Spco,-2.93046443,0.523073113,-0.050531153,0.187707254,0.074415947,-0.007638465,0.579986815,-0.46824889,0.431183897,-0.219401209,0.217741386,-0.39119227,0.369659109,-0.18189984,-0.183666553,-0.008960897,-0.105594039,-0.295033608,-0.154499568,-0.19318285,0.141374488,-0.024069536,0.166630255,-0.041410867,-0.004898706,-0.058008381,0.005722584,-0.085466343,0.031138922,0.122528424,0.066937542,0.057364815,0.083084142
D30_Spco,-4.148116504,-0.857948689,1.708381199,0.64382014,0.09434411,0.102315578,0.506580434,0.017904427,0.159479673,0.398429363,-0.177053404,-0.120411467,0.186227117,-0.472515191,0.409721224,0.294752649,-0.018211536,0.369434904,0.131857782,0.279162468,-0.430406388,0.030181496,-0.105663095,0.021916899,0.071970104,0.040294618,0.099020755,-0.148025614,-0.032366343,-0.008008419,0.002233721,-0.112999464,0.069485344
C21_Bogr,5.047080915,-0.797931515,0.466589049,0.006755456,-0.412319899,-0.105629711,0.523206247,0.259437394,-0.337307421,0.154133709,-0.044665654,0.010539641,-0.127189314,-0.567219404,-0.262038497,-0.22785511,0.385099857,-0.018377104,0.19256055,-0.112019939,0.058589408,0.167533105,-0.033593471,-0.014077319,-0.04422321,-0.046915994,-0.00246775,-0.084299113,-0.041272724,0.037598279,-0.118420605,-0.016516046,-0.090993943
B10_Bogr,-2.05214397,-0.163774826,-0.997633565,-0.332217978,0.174662372,-0.035914697,0.092543076,1.079028138,0.006834128,0.522121796,-0.023322245,0.251923927,-0.178091397,-0.519619488,0.143093995,-0.16564906,-0.344881887,0.208753972,-0.094929626,0.136138939,-0.057824416,0.061221221,0.11604872,0.040056997,-0.089821395,-0.032072113,0.197244206,0.036598467,-0.116285474,-0.162274357,0.06533749,0.024397431,-0.012004114
B9_Spco,-4.033126612,2.180696061,0.277331152,-0.109516039,0.730914448,-0.747297884,-0.250859674,-0.189509071,-0.123109081,0.340210358,0.09383201,-0.088415068,-0.02578946,0.242636304,-0.181846344,-0.089958838,-0.249379574,-0.155974692,0.526995005,-0.023155588,0.032109532,-0.005422843,0.018480676,-0.04822029,0.19298718,-0.009105132,0.142753699,0.122003674,0.002028609,0.110729962,-0.106159372,0.058956144,-0.0099773
C22_Spco,0.132612367,0.229267282,0.317698786,-0.066306732,0.202026954,-0.243425787,-0.493009713,-0.230290593,0.192051751,0.411810291,-0.506378599,-0.661937938,-0.118148468,-0.138108834,-0.194486107,0.267591204,-0.132384929,-0.15647035,-0.063258103,0.005248234,0.107343264,0.100762113,-0.166079158,-0.014463013,-0.14902433,0.030741369,-0.032126629,-0.138467985,-0.142798481,0.058810817,0.031634216,0.010854801,0.020072314
B14_Spco,-0.685762408,0.694197593,0.070625022,1.329456428,-0.297383098,-0.008094209,-0.271616098,-0.065191585,-0.271942895,-0.612379859,-0.452575923,0.072497356,-0.103880227,0.303920036,0.133267464,0.094756925,0.170939178,-0.244105447,-0.133493137,-0.029262448,-0.023451195,-0.018373986,0.012694316,-0.182062401,0.109461457,0.16948902,0.16830801,0.076078415,-0.024876945,-0.176418562,0.03532218,0.033068127,-0.052925507
C17_Bogr,-0.41697343,-1.092142577,-0.434362003,-0.14107903,-0.744970044,0.462542277,-0.608162758,1.165766355,-0.554697978,0.215797312,0.724647718,-0.144035945,-0.01411269,-0.034604708,0.244598985,0.214693826,-0.361659455,-0.054739204,-0.005299604,-0.146637909,-0.148112169,0.349518356,-0.186542669,-0.136237277,0.12884053,0.14354506,-0.19094321,0.067117908,0.025487696,0.11066019,0.013989639,0.044622308,-0.020915781
A7_Bogr,-1.108492706,-1.237065194,-0.976575722,-1.025038044,-0.098253209,-0.232786508,0.253495366,0.19691915,0.133100023,-0.357689095,0.029421106,-0.50768998,-0.276965329,-0.21402035,-0.270214327,-0.194862518,0.369642736,-0.052739865,-0.397902481,0.178069943,0.087703046,-0.035374057,-0.266974278,0.106816179,-0.057442124,0.022800325,0.108750795,0.104312666,0.180257725,-0.071199214,0.006548221,0.077759525,-0.027199487
F43_Bogr,-0.400435269,-2.071203235,-0.646317041,-0.14853546,0.243032175,-0.722378063,0.346139737,-0.066155508,0.484760634,0.101276178,-0.280837171,0.488215126,-0.596141108,0.213414993,0.20649285,-0.261886707,-0.084889354,0.151095572,0.205945546,-0.116504514,-0.227135403,0.058248389,0.178369979,-0.09071225,-0.090417991,0.186609917,-0.09382938,-0.028471,-0.02436012,0.021970697,0.089614661,-0.016618199,-0.109216784
A8_Bogr,-0.413110085,-2.121141023,-0.514969763,-0.832506725,-0.162563387,-0.340421797,0.309301183,0.501020497,0.644278344,-0.152738448,-0.311311363,0.324831359,-0.596502084,0.196001294,0.34682239,-0.142320525,0.216378095,-0.151715482,-0.102463194,-0.002872031,0.08001298,-0.037322791,-0.084955732,-0.030042571,0.051038585,-0.054509339,-0.01999055,-0.032292554,0.060972297,0.146050668,0.087690694,-0.003719364,0.099090676
