,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56
B10_Spco,-1.676464504,2.853841745,1.36302076,-0.086387843,3.376081964,-0.771040549,0.066191697,-0.142365919,1.972017171,-0.864502747,0.080470823,-0.483966753,1.343967879,-3.346557228,0.944366562,-0.553251463,-0.87769134,1.584646574,-0.791446055,-0.55490916,0.956417396,-0.531436898,-0.925101627,-0.139244997,-0.032650259,1.793739977,0.620532182,-0.13378121,-0.774005935,-1.199075283,-0.457847059,1.263666348,1.416144876,0.555970252,-0.19034969,-0.659049954,-0.64530628,-0.012299478,-0.400024206,-0.681397138,1.040506809,0.715055789,0.031704454,0.620842888,0.744487303,-0.053697681,-0.322591069,-0.084652283,-0.376220888,0.742368374,0.163138153,0.198388833,0.219831984,-0.644567027,0.019325808,4.95E-15
D28_Bogr,0.529482525,0.831934573,0.443059947,0.201003016,-3.411343404,0.217247749,-2.759091743,0.641525418,0.007656304,1.621970096,0.533988612,1.54295157,2.431005994,-2.229577871,-0.944893917,0.113484443,0.354799402,2.336978651,1.28003038,-1.193091249,-1.37934103,1.313269438,0.553479871,1.393107896,-0.562090399,-0.255286067,1.733262841,-0.557611533,0.04409135,0.967525443,0.805710656,1.238717425,0.217889272,-0.502377825,-0.660498316,0.680719027,1.363675371,0.506169399,-1.259490691,0.452985989,-0.220090056,0.323533952,-0.271477678,-0.513363369,-0.620152034,0.285945544,0.452905721,0.482516364,0.028198972,0.34895187,-0.17837622,0.183163933,0.221971595,-0.044216001,0.068993773,6.16E-15
B13_Spco,-3.216089782,-1.467363547,-2.538019869,1.854003612,0.109209806,-1.311120008,-1.544516361,-0.662835508,-0.827256025,1.13665777,1.710159637,2.034932675,-1.177820533,2.380388474,2.0314368,-2.210303014,-0.364393152,-1.46089527,0.951293532,0.802553874,-2.229383691,-0.633913589,-0.368929607,-0.78795256,1.434898345,0.250441777,0.173325765,-0.175429428,0.910840243,-1.095025178,1.756415194,0.244762048,-1.439950905,0.018699486,-0.58839382,-0.447283928,0.100241128,0.380692072,-0.551299156,0.284632057,0.32710561,0.224204336,0.027644227,0.167871481,0.494719306,-0.486233716,-0.347316189,0.273740345,0.203889815,0.133546049,0.05378982,0.783641983,0.244189409,-0.583627395,0.003878681,4.68E-15
C19_Spco,-1.493850681,-2.336236117,-0.825801316,0.180896588,0.900173343,-0.657528873,-0.440118963,1.012935495,-0.807276269,-1.563979969,-2.637652882,0.027292405,-1.124054374,0.050165717,0.728832591,1.373689955,-0.347373566,0.874839374,0.438834837,0.484393705,-0.180580644,-0.396552838,0.884405417,0.475148203,-0.477714194,1.959735671,0.314927965,1.377493402,-0.127605609,-1.86266336,0.850272972,0.674967486,0.037132164,-0.474785752,-0.222398004,0.537063663,-0.446905971,1.280191968,0.597815999,-0.246663162,-0.451647811,0.757034949,-0.707106748,0.102526506,-1.223969089,-1.255063851,0.082401904,0.399335025,-0.103812537,-0.095180172,0.324595239,-0.219242372,-0.412433884,0.582730929,-0.046431864,4.98E-15
D30_Spco,-2.427087545,-0.513900189,-2.801943861,0.558384918,2.013749072,3.06270043,1.154432518,0.5907717,-3.50745164,-5.123006715,1.315028509,1.542162086,5.133864061,-0.737970489,2.11734707,-1.439791452,1.435584144,-1.212285403,0.215190212,-0.967416019,-0.174223067,-0.581495836,0.798139772,-1.372961056,-1.410066495,-0.25976216,-1.138175117,0.242046111,0.296323322,0.651032252,0.35426563,-0.584839063,0.447477175,-0.128265858,0.085953004,-0.502585676,-0.125347614,0.071281475,-0.601922248,0.358394563,0.455664152,0.22850256,-0.489125036,-0.069848836,-0.291715891,0.242100749,0.098101261,-0.222251339,-0.083072206,-0.170795201,0.177977218,-0.135052161,-0.068967374,0.268285153,-0.002659139,5.64E-15
C21_Bogr,-1.842080823,6.893757626,-1.092732224,-2.191489774,-0.664457897,-2.929330414,0.131022456,-0.15684912,-2.597526372,1.208691499,1.754017826,-0.380773626,-0.604012726,0.308351258,-0.387498901,1.400049969,1.224707868,-0.014548373,-1.380707818,1.2306028,1.506463072,-0.473000493,-0.56444847,-1.192944244,-2.15118755,-0.392013656,0.91709086,0.132166519,0.067109633,-1.076553482,-0.493608301,-0.657167964,-0.317076419,-0.868434963,0.368573177,0.131541852,0.936525004,1.200481066,0.504565276,0.158648919,0.674128372,0.127102513,-0.167356293,-0.338728556,-0.355180351,0.737917127,-0.043132412,0.172778996,0.411802388,-0.037257586,-0.067602301,0.518384053,-0.024478583,-0.258917647,-0.233333278,5.50E-15
B10_Bogr,-2.148113209,-1.518727457,-0.576378266,-0.478014749,2.22959481,-1.349157935,-1.859676007,1.003917978,0.897957824,0.961302429,-1.287033807,-1.29246753,-1.05235538,-0.462516658,0.721406183,0.609383472,1.31206536,-3.162254974,0.909271403,-0.580827677,1.67489413,0.221056641,-0.494876478,0.574423571,-0.727878514,-0.78554419,0.053191942,1.29667197,-0.288027978,-0.154650761,-0.33316882,0.71131713,-0.102711456,1.14059277,0.077776441,-0.02340313,-1.161383694,-1.127898413,-0.891334413,-0.16062172,0.029665526,0.488878018,-0.568103008,-0.656061853,-0.535613698,0.279249657,0.439770899,0.888548452,0.449502781,-0.48058849,-0.938519443,0.322376355,0.470693712,-0.044265586,0.052715551,5.62E-15
B9_Spco,-0.450177649,-0.38585533,-4.433515002,-1.975492409,2.779529543,-2.850864234,2.714400625,0.733537952,4.050622562,4.800821669,-0.923851294,0.949498107,1.127472664,-2.725807507,0.891588335,0.373993168,0.037558361,0.402353428,1.796825453,1.774195488,0.66464455,-0.603234644,0.562942591,-1.602337415,0.61669557,-0.85448832,-0.905029259,-0.623921271,-0.544489277,-0.541683823,0.572215546,0.371852819,-0.381600209,-0.130100075,0.186913373,-0.649876281,0.654448113,-0.404988432,0.175433254,1.000542345,-0.388475704,-0.345268983,-0.516134628,-0.021386982,-0.054619628,0.276304026,-0.110374692,-0.264941666,-0.347750529,0.168431242,0.110217447,-0.367832432,0.022836424,0.502736953,-0.008651581,5.06E-15
C22_Spco,-0.423407451,-1.188552201,-1.727101397,1.58304644,0.638166148,-1.798443426,1.481422535,0.379147443,-0.15141735,-1.751113149,-1.893266639,3.066447771,-2.908310575,-1.146658803,-0.579383553,-0.087762067,-0.911322054,-1.232141315,-0.135950941,-0.052084281,-0.706234868,-1.423982121,0.950018995,-1.634902678,-1.827670645,0.309742322,1.226255749,-0.223890357,-0.333925588,0.93804243,-0.19377448,0.262199408,-0.413647538,1.487780027,-0.10050064,1.219370319,0.841471595,-0.308792448,-0.449362213,-0.988794303,-0.361024485,-0.547145569,0.547347846,0.396777374,0.48916334,0.34707254,0.65429582,0.045433013,-0.276541273,0.289330936,-0.189604065,-0.101450954,-0.710570167,-0.096633323,-0.018686535,4.84E-15
B14_Spco,2.740431275,0.156173095,2.725369665,-0.883107313,1.067299679,1.267584355,0.690807949,3.56592955,-0.764664377,0.418741186,-1.402529094,4.041057094,0.1233725,-0.172972488,-2.694748943,1.10306299,-0.108931877,-0.109637672,0.393075449,0.241018214,0.005456765,1.310205066,1.229153731,-0.917379906,0.506100034,-1.240120977,-0.135993034,0.735365652,0.227655586,-0.467982849,-1.235375762,-1.063371575,-0.501846506,0.137808802,-0.728799237,0.206435932,-0.756659663,-0.294292723,-0.464639635,-0.325753285,0.440314755,-0.270651217,-0.045775594,-0.21623267,-0.240459539,-0.771640227,-0.188955517,-0.006520803,-0.425375986,0.319859537,0.799305948,0.078109094,0.848023771,-0.286412141,-0.154130617,5.19E-15
