,nitrogen,block,plot,spp,batch,BOGR_cover,SPCO_cover,ELEL_cover,total_bio,grass_bio,forb_bio,photo,cond,Ci,iWUE,PC1,PC2,PC1_old,PC2_old,M10,M16
A1_Spco,30,A,1,Spco,normal,3,2,30,11.16,7.615,3.545,9.261500338,0.12455368,232.2966822,74.35750062,35.21211453,5.48636777,-36.12429832,1.333582412,0.019689026,0.0030798
A1_Bogr,30,A,1,Bogr,normal,3,2,30,11.16,7.615,3.545,10.6,0.0951,191,111.4616193,-29.82405672,-6.496872032,42.05328971,2.415775696,0.211258069,0.348533606
A2_Bogr,20,A,2,Bogr,other,5,5,35,9.1,8.73,0.37,,,,,30.58684193,2.437338724,36.21615136,2.822621673,0.013370192,0.096798309
A2_Spco,20,A,2,Spco,other,5,5,35,9.1,8.73,0.37,1.99,0.0446,294,44.61883408,-25.01473191,9.865478162,-30.34404371,6.864971533,0.28713486,0.177754932
A3_Bogr,10,A,3,Bogr,normal,3,6,15,4.165,2.855,1.31,14.2,0.154,219,92.20779221,39.78994368,13.27861206,44.19924697,9.245462367,0.32053255,-0.047904757
A4_Spco,15,A,4,Spco,normal,2,2,17,5.91,5.515,0.395,2.87,0.0635,294,45.19685039,32.46850103,-27.65865611,-35.42210353,-7.611536783,-0.066435491,-0.030831497
A4_Bogr,15,A,4,Bogr,other,2,2,17,5.91,5.515,0.395,11.01348636,0.085041206,166.6775016,129.5076455,-30.61256549,-11.20000194,37.93937135,-14.14308938,-0.103182356,-0.139203792
A5_Bogr,5,A,5,Bogr,other,1,4,13,13.4054167,11.14,2.065,2.66,0.0648,301,41.04938272,38.11435779,-14.80911303,39.92567715,-3.051767039,-0.053430045,-0.123662225
A5_Spco,5,A,5,Spco,normal,1,4,13,13.4054167,11.14,2.065,9.047351505,0.124689157,251.6321054,72.55924832,-23.58692654,7.759411383,-30.413268,15.30051741,0.152704424,0.063142564
A6_Spco,0,A,6,Spco,normal,9,2,13,11.295,11.155,0.14,0.303,0.0209,339,14.49760766,-32.8392199,-18.70845742,-33.75196414,-24.72806316,-0.15944853,-0.036975282
A7_Bogr,7.5,A,7,Bogr,other,1,5,13,12.91,12.775,0.135,13.4,0.0969,143,138.2868937,35.08226546,-10.75222426,41.47583744,-9.406413691,-0.047037335,-0.055576681
A7_Spco,7.5,A,7,Spco,normal,1,5,13,12.91,12.775,0.135,14.23050225,0.176688401,231.0412744,80.54010433,-25.85955021,11.89875127,-30.66093735,8.335877521,0.07285657,0.085248118
A8_Bogr,2.5,A,8,Bogr,other,5,2,13,15.5727,15.435,0.14,13.05664009,0.083334388,115.1399923,156.6776982,28.21607737,-10.29207948,34.47147042,-3.831425618,-0.005813519,-0.154666521
A8_Spco,2.5,A,8,Spco,normal,5,2,13,15.5727,15.435,0.14,2.77,0.0489,269,56.64621677,-31.06540972,2.537193816,-33.57697596,-11.93272215,-0.179044866,-0.019600817
B9_Spco,0,B,9,Spco,normal,16,2,1,7.86156566,6.345,1.465,7.414662479,0.093867695,233.6377707,78.9905673,28.25693841,-21.1141557,-39.01381973,-12.5315503,-0.204537213,-0.006800494
