modulenumber,X,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
10,C1760,7.461926934,9.000351788,8.646565722,7.799774904,7.475376071,9.858534669,8.634189861,7.533201323,8.630749187,8.581957598,9.432033108,8.887365445,8.494350358,8.569671757,9.555169102,8.730925694,8.962629067,9.031906824,8.407317899,8.591393401,7.978335042,8.647822619,8.130903591,9.109443178,9.512150033,7.795442704,8.265128186,8.849868105,8.576600045,7.251821344,9.030704392,10.06255242,8.527290401,10.65512761,8.525179334,9.160694431,9.205421045,9.136907715,8.853544146,7.904416784,8.732779076,9.4199451,8.864155746,9.881900763,8.15198397,9.158141932,9.637240159,7.385676406,8.916016333,8.52424384,8.87474596,8.830829411,9.60845131,8.926997749,10.5917229,6.779748351
10,C1188,9.424243874,10.64861347,9.871260684,9.704745385,8.873945716,11.3917246,10.05143877,9.393808373,10.19274509,10.19121547,10.5387697,10.27365782,10.63229449,10.59676852,10.96818559,10.17912166,10.94943314,10.37242805,9.760921306,9.885647889,9.616889921,10.21472672,9.517844124,11.07533884,11.11252339,9.41774021,10.19721838,10.58550317,9.935331978,9.24140299,10.90870718,11.43022488,9.937324826,11.75795509,10.32445945,10.63624303,10.61368278,10.51691007,10.77255748,9.376782017,10.69209064,10.82595473,9.925959554,11.19318842,9.671098504,10.78546543,11.02671556,9.211183946,11.13933362,10.13129246,10.22615369,10.41512109,11.23240293,9.879343797,11.1405952,9.548232191
10,C1441,9.197170628,10.55836389,9.21949692,9.310855696,8.404367746,10.53503965,9.25688493,9.030212667,9.606187468,9.40408375,9.242835592,9.964128644,10.08046611,9.809722469,10.00733281,9.671111114,10.3335362,9.849504003,9.53330201,9.002485986,8.970182189,9.435754631,8.844236319,10.14804868,10.17047676,8.936764477,9.853601727,10.04231034,9.418580375,9.0702673,9.680931763,10.57137855,9.571223716,10.82649166,10.16003692,10.00437556,9.652623501,9.872664554,9.735144259,8.988944327,9.251118057,10.03669121,9.899383355,10.40602337,9.111855093,9.918150215,10.353492,8.903260394,10.47656362,6.099392002,8.9904146,10.13896911,10.47961898,9.300505225,11.22120327,9.175273315
10,C2059,8.71780984,9.863855409,9.021718814,9.167958789,8.442113849,10.68518168,9.970273261,8.62512815,9.632310473,9.99788166,10.0785896,9.895461179,9.699441344,9.733561414,10.23097601,9.655690606,10.06263587,9.445970911,9.304712968,9.541683038,9.573577926,9.418701999,9.231851987,10.44035027,10.51274583,9.324172225,9.554357601,10.00566824,9.433516974,9.110215411,10.10000007,10.47279601,9.631187071,10.83074921,9.831223428,9.70385469,9.643334948,10.18206664,9.725277859,9.49447993,9.833668265,10.46022673,9.726820038,10.61139865,9.140511256,9.586771655,10.09079443,8.590329821,9.607853489,9.256858605,9.98330117,9.662325519,10.68326016,9.867804122,10.97822439,8.717169001
10,C1184,8.407768147,9.952290097,9.531814829,9.24144017,9.590664022,10.59013172,9.677400681,8.433003886,9.767351922,9.780081886,9.324840001,9.528308784,10.69689191,10.34317716,9.590545315,9.626915594,10.69977991,9.616341007,9.293694057,9.981871208,9.356158574,10.00069422,9.894209717,10.599785,10.39681775,9.401840175,9.261013517,9.999688904,9.529913006,8.332966805,10.0552459,10.49319541,9.662684565,10.93286957,9.622926186,10.2051332,9.796043187,9.696164236,10.59567077,9.52872667,10.45757178,10.05439152,9.506409548,10.32965682,9.240846273,10.69018093,10.52513576,8.172255332,10.99395272,9.843715,9.675878226,10.22087021,9.90471749,9.214825233,9.634967742,8.626183963
10,C1444,8.312091466,8.397048415,8.375311321,8.152995038,8.170636932,9.985432552,8.796866435,7.873806655,8.926595014,8.626102279,8.964065826,8.980657683,9.066227447,9.286433955,9.516267206,8.93991923,9.378108807,8.837570646,7.943940912,8.620222231,8.228855569,8.414160427,8.210232163,9.360615109,9.314047869,8.219475822,8.803261681,8.950724346,8.521226794,7.993218612,9.237768924,9.787736478,8.839712297,10.16653213,8.698334366,8.989015265,8.720194377,9.110084071,9.391075249,8.14857316,9.081483626,9.180189234,8.71812723,9.951012012,8.242531631,8.935447098,9.584211977,8.156405036,9.161031672,8.402480827,8.715783441,9.09458336,9.819722487,8.522878741,9.821614376,8.275702223
10,C2128,6.767821456,8.745388604,6.570034158,6.264309835,6.884508982,9.415482862,6.896123073,5.71209327,7.100662243,7.177504697,8.150503065,7.347876694,7.713309121,7.869907627,8.539584934,6.43925005,6.850332703,8.683279728,6.502691214,7.895471645,6.32867647,8.063841895,6.93480364,7.804643848,7.703169567,6.721615094,7.413686765,7.592801899,5.899710062,6.601666305,7.218402311,9.095117564,7.816652934,8.677594846,7.584821739,9.115948622,7.05171597,7.748396944,8.662060831,6.210192321,8.390563815,7.409505814,6.660041202,8.075194643,6.57990133,7.704731138,8.727895959,7.35605845,8.149100958,7.505333895,7.510739644,8.590738181,7.963587744,5.803916998,8.268762598,6.385608803
10,C432,9.557309288,11.15594986,10.16099376,10.43605107,10.06412084,11.53644182,10.05660962,9.907059605,11.02670764,10.31956107,10.66581591,10.90233433,10.56082194,10.62859074,10.37655329,10.50026395,11.82936882,11.10830082,10.0271374,10.69828891,10.03070767,10.78053046,10.48918557,10.62014203,10.78049486,9.90181464,10.65945032,11.03311687,10.60489058,9.285585352,10.52751131,11.00843377,10.62183647,11.65332429,10.39952684,11.7633697,10.17027034,10.4387013,10.20474486,9.926995392,11.41633154,11.01181633,10.05533305,10.69226135,9.881144704,11.77615976,10.64512639,9.823740052,11.82569449,11.18202494,10.66867756,10.83354409,10.70527476,9.885326344,10.56963788,9.88103731
10,C983,11.86361107,11.05135485,11.57548585,11.45441779,10.86941688,12.96105823,11.00410484,11.80541145,11.99038588,11.8974341,11.09072401,11.02026358,10.95336258,11.15705691,13.6596104,11.19873239,11.38873415,12.14044111,11.89010411,11.42271006,11.66550758,12.46104221,11.53377767,12.32496278,13.62019662,11.52986238,12.27483357,11.11440675,12.23567919,12.0442473,11.34416752,12.72165674,12.19779057,12.82785321,11.07453276,12.30962279,11.32632046,11.33732729,12.69552731,11.78848042,11.22698232,11.71055833,10.97444711,13.18021615,11.55503328,11.49619516,13.6025961,11.45739388,11.53910897,11.40522821,11.12962252,11.56620005,12.6630146,11.2447899,14.69282584,11.62957619
10,C1766,7.737330987,8.65393989,7.779230868,7.831042454,7.139113569,8.755508925,7.741945426,7.600811381,8.055964383,7.778928003,7.67748466,7.891244954,8.373018494,8.17346461,8.309971282,8.082569991,8.512060293,8.313156895,7.973946332,7.864855813,7.185433071,8.311531674,7.249743184,8.273497576,8.543482159,7.257108826,8.177936473,8.183721439,7.985539731,7.650933383,8.329305645,8.999372001,7.969352909,9.389009859,8.162956866,8.500168495,7.719069406,8.321768505,8.207836321,7.514754078,7.911100652,8.314426767,8.343431902,8.805182094,7.485637366,8.332730748,8.788036459,7.4770327,8.359955115,7.345088662,7.760128418,8.262538288,8.738497518,7.784441768,9.279287474,7.702933169
