,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,A3_Spco,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
C1,869255.4127,255698.9865,833505.8093,890459.2806,871942.1878,1581471.541,54949.36076,916185.6392,1424389.857,1141298.388,206066.2578,130288.5042,428223.8464,113109.1618,65197.01749,155218.1524,1649672.755,1159349.457,1370771.846,1192483.468,1216842.812,728433.9776,1292446.286,2125261.17,249281.6123,1130653.297,940407.6897,242262.5015,1226785.277,882011.1198,301114.6136,1609380.029,1454310.788,1947268.08,72648.65263,1351190.743,3333154.032,165446.2128,133657.1449,1347374.115,315196.1983,463589.0335,48965.36348,2101787.445,950383.0679,879023.7395,247674.183,1117699.147,1550757.237,1885351.451,670327.6742,99689.39039,222683.8529,1554167.16,81436.8253,255406.437,1034989.624
C2,332105.945,6513.833238,256739.3292,351835.6213,310595.0627,2971.276051,5832.989197,263005.2463,393766.6163,282217.8344,7542.024639,4665.268166,8092.519892,5998.011217,338922.4425,7724.757838,5402.585448,160500.7759,72852.75417,247882.8167,287394.2151,105622.4909,347791.1457,2389.120092,251672.5247,253489.7816,231289.2714,5249.192982,348812.1265,222787.7186,6687.695374,3279.337099,298790.9706,4506.142642,4070.774538,90851.88568,1761.019761,6859.500048,340216.1732,378609.8391,4764.526958,6168.255725,5608.663593,3850.137969,244711.1795,4525.96884,310730.817,315104.4039,6250.827318,58851.22994,224600.034,6816.857457,5921.06285,6600.408741,7024.952768,373700.1433,392840.7208
C3,34690.98412,1723.454076,16013.29992,20278.51165,64364.75203,2371.783742,2067.5372,45474.43033,35967.45524,100382.8336,6593.968934,1628.538563,2463.030585,672.3018478,170199.3014,5039.237022,1416.449178,46534.49172,10191.12344,29820.03262,75195.46072,48244.75223,33275.6994,1417.102144,185983.4134,30956.11282,22316.05985,1203.747474,40416.32393,39237.87916,2107.729887,590.9559444,41809.43852,1588.729757,466.2795131,8561.625584,1276.73736,569.7370301,22421.50309,25157.60418,1410.33017,465.2415395,778.149018,434.3513721,55526.85745,4742.733923,114785.5776,30880.30414,1989.053376,2882.492356,40100.45513,2357.8909,564.3837092,421.5564005,1656.91185,60209.84504,35826.58161
C4,938189.7062,296553.3227,940741.661,1092472.858,1058790.348,1628777.759,104410.8311,881420.4436,1343911.848,1166851.329,306571.1271,244470.2824,570447.3948,352624.453,205696.4954,251263.5848,1296877.225,1295051.227,1302241.433,1287207.603,1329902.968,886929.7032,1356667.543,1917443.49,667746.6543,1072145.739,900429.4584,390460.3086,1241779.642,689175.5273,296207.7598,1411552.136,1358911.588,1879877.402,122867.5489,1188533.115,1955715.083,331268.3391,327519.4623,1217010.129,548726.0088,581470.9956,114598.7913,1952304.454,851730.6616,1073904.936,590474.7734,929153.1306,1224912.177,2603049.271,938269.2283,228432.6109,481820.1107,1178509.042,130568.4852,320602.6752,1130331.289
C5,30690.18144,52023.11638,30605.4929,29110.0025,20801.39067,33192.06995,68655.05147,38112.7982,39681.03863,31929.76334,86362.31103,77487.16742,34710.09743,54734.75483,37590.74337,3395.960491,50081.90676,7225.863422,8263.610283,30594.79263,43478.72759,8336.585845,14857.10957,5819.766973,30666.81363,15546.5252,19270.9585,62644.06387,8266.811393,6245.340381,37155.00925,10764.6044,16689.48835,49028.74363,24518.62239,18708.79104,13957.95318,35933.44871,37026.05538,30403.00287,41691.55963,46490.54131,17173.81068,27223.45394,8371.447421,51226.36582,6594.783274,5625.983851,55198.96563,19351.41123,24162.806,49694.50616,18672.38355,45044.80046,33234.72857,18913.04913,42028.36391
C6,10630.21131,660193.3124,3881.766245,15451.83505,2877.313067,3961.923064,1519004.017,4654.610676,9725.942632,3082.242443,920440.7459,1083774.731,678839.5391,1148265.219,727925.9225,872215.1729,755176.4612,17891.43947,18711.75937,7041.86889,2589.928412,20761.92418,905.4774091,1252.123183,468391.3343,4198.700428,98574.25152,1033659.389,8926.97694,8532.092849,1246544.369,2748.669068,9036.600973,1861.463235,693988.9514,29457.03602,2119.115934,1279639.835,849505.3417,5258.760541,1258987.79,1602064.147,1040545.793,3631.770879,2254.754058,712053.5106,474894.2044,5868.74718,282931.1556,5543.440624,13631.61373,1341214.319,654089.6432,5254.175389,1541337.904,325722.7499,9107.68384
C7,50440.32122,411984.4616,44787.95874,51862.34185,54630.9145,100107.671,141142.8688,28024.99203,61368.21476,42512.8873,282063.7419,181653.8072,325573.5002,231740.0717,71325.18377,238711.6638,125642.4398,43557.52697,37334.35149,97722.69947,38006.90887,46206.96145,74146.78136,101083.5027,106467.4432,60330.86477,28637.42021,239285.1615,52085.22272,35464.87801,169731.7571,96691.92234,63016.16533,208238.2243,166660.3622,47534.02259,20667.08789,294841.5687,101909.4665,42742.53119,174329.3982,209205.3242,168637.784,116973.1136,54436.41551,292722.8243,83351.19783,61754.36915,218573.4837,25012.61118,61778.04104,195430.5637,197222.9724,94067.36045,240852.1391,66078.99783,60252.39999
C8,281077.699,314885.5616,188623.6492,223308.9017,95082.23065,271865.3749,189405.2354,172001.0879,199980.5707,103163.2186,231758.0126,275372.7191,406415.6021,566399.2986,457339.4319,225860.2011,409401.6258,444984.0944,361111.9932,202986.3685,82833.12889,605752.0972,118269.509,148353.9454,543623.0585,83088.44113,427230.1329,204118.9371,177525.0478,240674.0246,392721.8471,234801.3369,220063.2201,355858.4361,133946.2554,687775.4969,145937.1881,227627.7684,659995.5134,123126.5149,328161.6911,227054.8377,55882.72583,267780.8761,164814.6821,311735.8078,652013.6426,100035.8284,340831.8198,114100.2341,289616.1817,134946.9463,419865.1166,263872.6597,111521.405,825388.1916,138833.9018
C9,7481.201064,438957.2963,6447.211251,6957.055612,8499.013511,65490.48678,590507.0192,7068.555536,7498.94653,9808.409373,528590.6935,536761.1537,316680.5489,732204.7587,73552.28031,587011.4276,277083.7587,7176.996702,8878.327177,8894.950483,8726.583654,9791.504032,9366.249502,25335.26949,66761.74985,7725.284795,11830.08825,435665.6618,11116.21677,7701.462949,385530.9986,26681.34402,10210.09419,45826.84599,471079.5402,7478.317114,20531.10189,353411.0641,220360.5645,6439.194298,450130.2032,359382.6601,530316.4602,58878.35268,5117.893734,407513.0035,105374.1923,7526.944265,92904.73952,7672.789485,7709.521048,384320.4495,504373.9122,21376.70522,384287.9597,40447.27491,8263.493604
C10,130584.5165,10416.67398,138070.8576,200224.1522,56228.72822,1209.31315,25441.80416,182588.0938,195215.2972,177215.0732,23715.29321,17812.22266,9204.897364,18308.66873,137618.3549,19544.53431,12416.66445,32817.63255,32455.10573,124652.7196,143806.1613,32570.40573,101031.207,1418.34892,97873.63248,69050.80651,174375.8771,14348.52937,163293.6807,93324.99334,22384.45553,1668.768092,42596.24078,1201.625448,14338.472,76136.01857,1711.708582,20847.2685,182418.5646,250739.0031,19317.79905,16119.76493,11812.90069,1888.015442,88872.121,13612.90041,172131.5459,135898.1389,7521.585745,11380.6325,151007.7615,12152.36662,16965.91983,2655.80338,20800.62002,161898.9967,155203.4511
